Weeks;CTR;target
-0.227132;-0.205043;1.000000
-0.227132;-0.060305;1.000000
-0.227132;-0.477795;1.000000
1.422738;0.787695;1.000000
0.735292;2.124191;0.000000
-0.364621;-0.429437;1.000000
1.010270;0.452298;1.000000
0.597803;1.154434;0.000000
1.010270;0.090919;1.000000
1.285249;0.329277;1.000000
-0.089643;0.173825;1.000000
1.010270;0.081059;1.000000
1.422738;0.684532;1.000000
-0.227132;-0.070279;1.000000
-0.227132;0.216751;1.000000
-1.189556;-1.443869;1.000000
-0.227132;-0.062091;1.000000
1.422738;0.580535;1.000000
-1.189556;-0.700523;1.000000
-1.327045;-1.231156;1.000000
-1.327045;-1.208466;1.000000
-0.364621;-0.505436;1.000000
1.285249;0.669776;1.000000
1.422738;0.516720;1.000000
-0.089643;-0.459439;1.000000
-0.227132;-1.137430;1.000000
-0.227132;0.549760;1.000000
1.422738;0.521060;1.000000
-1.327045;-0.957390;1.000000
1.422738;0.295556;1.000000
-0.364621;-0.352649;1.000000
1.422738;0.911023;1.000000
1.285249;0.475706;1.000000
-1.464535;-0.428692;1.000000
-0.364621;-0.868065;1.000000
1.422738;0.449709;1.000000
0.322825;-0.809047;1.000000
0.322825;2.412888;0.000000
-0.089643;-0.044079;1.000000
-0.227132;-0.645678;1.000000
-0.227132;0.183306;1.000000
-1.327045;-0.639176;1.000000
-1.327045;-1.663500;1.000000
-0.227132;0.169074;1.000000
-0.227132;-0.678362;1.000000
0.872781;0.145860;1.000000
0.460314;1.057289;0.000000
-1.327045;-1.475740;1.000000
0.597803;1.227298;0.000000
-1.327045;-1.710183;1.000000
-0.364621;-0.507161;1.000000
0.460314;2.274730;0.000000
-1.327045;-1.601570;1.000000
-0.364621;-0.432865;1.000000
-1.327045;-0.775353;1.000000
-0.364621;-0.180431;1.000000
-0.227132;-0.594137;1.000000
-0.364621;-1.283182;1.000000
-1.327045;-1.127186;1.000000
-0.227132;-0.338044;1.000000
1.010270;0.123695;1.000000
-1.327045;-0.771048;1.000000
-0.227132;-0.427646;1.000000
-1.327045;-0.878014;1.000000
-1.327045;-1.150332;1.000000
1.422738;0.597271;1.000000
-1.327045;-1.906599;1.000000
-0.227132;-0.900430;1.000000
-0.089643;1.400021;0.000000
-1.327045;-0.794800;1.000000
1.422738;0.328005;1.000000
-1.327045;-1.174476;1.000000
-1.327045;-1.063660;1.000000
-1.464535;-0.859467;1.000000
1.422738;0.409902;1.000000
-0.227132;-0.164466;1.000000
-1.327045;-0.691236;1.000000
0.597803;2.011074;0.000000
-0.639600;1.290233;0.000000
-1.189556;-1.283804;1.000000
-1.327045;-1.020422;1.000000
1.422738;0.375574;1.000000
-1.189556;-0.650178;1.000000
-1.189556;-0.420040;1.000000
0.597803;1.167344;0.000000
-0.227132;-0.224996;1.000000
-1.327045;-0.956148;1.000000
1.285249;2.365962;0.000000
1.422738;1.259865;1.000000
-1.327045;-1.300542;1.000000
-1.327045;-0.866251;1.000000
1.422738;0.685548;1.000000
-1.327045;-1.550457;1.000000
1.285249;0.465647;1.000000
-1.327045;-0.633488;1.000000
-0.227132;-0.665857;1.000000
-0.227132;-0.341190;1.000000
1.422738;0.713217;1.000000
1.422738;1.115760;0.000000
-1.327045;-1.108022;1.000000
-0.227132;-0.154110;1.000000
0.047846;-0.430408;1.000000
-0.089643;-0.669140;1.000000
1.285249;0.108207;1.000000
1.422738;0.513065;1.000000
0.597803;2.546562;0.000000
-0.227132;-0.169487;1.000000
-1.327045;-0.282257;1.000000
-0.089643;-0.195459;1.000000
-0.089643;-0.363132;1.000000
0.597803;2.226239;0.000000
1.422738;0.249372;1.000000
-0.502110;-0.668353;1.000000
-0.639600;1.330520;0.000000
1.422738;0.695340;1.000000
1.285249;0.749694;1.000000
-0.227132;1.610555;0.000000
-0.089643;-0.313752;1.000000
-0.227132;-0.570943;1.000000
-1.464535;-1.214454;1.000000
1.422738;0.729797;1.000000
-0.227132;-1.014238;1.000000
1.010270;0.007455;1.000000
-0.227132;-0.088389;1.000000
-0.227132;-0.475459;1.000000
-1.327045;-0.824896;1.000000
-1.327045;-0.857055;1.000000
1.285249;0.374186;1.000000
-0.364621;0.145954;1.000000
-0.364621;-0.679145;1.000000
-0.227132;-1.001892;1.000000
-0.227132;0.026741;1.000000
-0.227132;-0.412637;1.000000
-0.364621;-0.643774;1.000000
-1.464535;-0.660995;1.000000
-1.327045;0.032146;1.000000
-0.227132;-0.443411;1.000000
0.460314;-0.084360;0.000000
1.285249;-0.689748;1.000000
-1.189556;-1.590274;1.000000
1.010270;0.262857;1.000000
1.147760;1.508326;0.000000
1.285249;0.599090;1.000000
0.185335;-0.494228;1.000000
1.010270;0.781497;1.000000
1.285249;-0.304596;1.000000
-1.327045;-0.825314;1.000000
1.285249;0.376471;1.000000
1.285249;1.262920;1.000000
1.147760;0.270672;1.000000
0.322825;1.861337;0.000000
-0.227132;-0.157140;1.000000
-1.327045;-1.373206;1.000000
-1.189556;-1.098753;1.000000
1.285249;0.158674;1.000000
0.460314;2.572570;0.000000
1.285249;0.873687;1.000000
-0.227132;-0.561299;1.000000
-0.227132;-0.151684;1.000000
-1.327045;-1.221352;1.000000
-1.327045;0.321336;1.000000
1.285249;-0.065683;1.000000
1.010270;2.150888;0.000000
-0.227132;-0.880640;1.000000
-1.327045;-1.313945;1.000000
-1.327045;-0.284053;1.000000
-0.227132;-0.583684;1.000000
-0.089643;-0.127666;1.000000
-0.227132;-0.425145;1.000000
-0.227132;-0.240502;1.000000
-1.327045;-0.571019;1.000000
0.597803;1.410265;0.000000
-1.327045;-0.550645;1.000000
-0.364621;-1.418978;1.000000
1.285249;1.960669;0.000000
0.597803;1.629304;0.000000
0.597803;0.904461;0.000000
1.285249;0.891113;1.000000
1.285249;0.250946;1.000000
1.285249;0.253543;1.000000
-1.327045;-0.627888;1.000000
-1.464535;-1.700817;1.000000
-0.227132;-0.150533;1.000000
-0.089643;-0.000088;1.000000
-1.327045;-0.737938;1.000000
-1.327045;-0.563351;1.000000
-0.364621;-0.597807;1.000000
-1.327045;-0.894469;1.000000
-0.227132;-0.791806;1.000000
0.460314;1.466416;0.000000
1.285249;0.319584;1.000000
1.422738;0.270581;1.000000
-1.327045;-0.890026;1.000000
-0.227132;-0.319646;1.000000
-1.327045;-1.097045;1.000000
-0.227132;-0.305927;1.000000
-0.227132;-0.520276;1.000000
0.322825;1.578404;0.000000
0.460314;0.738867;0.000000
1.285249;0.200896;1.000000
-1.327045;-0.992519;1.000000
-0.227132;-0.422654;1.000000
0.597803;1.634127;0.000000
1.422738;1.029221;1.000000
1.010270;3.194915;0.000000
1.285249;0.715809;1.000000
-0.227132;-0.428056;1.000000
1.010270;1.672352;0.000000
1.422738;0.388043;1.000000
-0.914578;-1.127535;1.000000
0.047846;-0.486540;1.000000
-0.364621;-1.140937;1.000000
-1.464535;-1.835812;1.000000
-0.364621;-0.268813;1.000000
1.422738;0.437641;1.000000
-1.189556;-1.077084;1.000000
-1.327045;-0.988900;1.000000
1.285249;2.091159;0.000000
-1.327045;-1.319534;1.000000
-0.227132;-0.121726;1.000000
1.285249;0.498183;1.000000
0.047846;0.814153;0.000000
-0.227132;-0.491645;1.000000
-0.227132;-0.808060;1.000000
0.735292;0.711688;1.000000
-0.227132;1.151595;0.000000
-1.189556;-1.177380;1.000000
1.285249;-0.189711;1.000000
-1.327045;-1.341464;1.000000
1.010270;0.030633;1.000000
-1.327045;-0.595586;1.000000
1.285249;0.492810;1.000000
-0.364621;-0.908701;1.000000
-0.227132;1.207555;0.000000
-0.227132;-0.149260;1.000000
-1.327045;-1.646188;1.000000
-1.327045;-0.971865;1.000000
1.422738;0.116120;1.000000
-0.227132;-0.729591;1.000000
-1.327045;-0.828203;1.000000
-0.364621;-0.132400;1.000000
-1.189556;-1.563659;1.000000
-0.227132;-0.412901;1.000000
-1.327045;-0.582400;1.000000
0.735292;0.650666;0.000000
-0.089643;-0.249935;1.000000
-0.227132;0.601864;0.000000
1.285249;0.724697;1.000000
-1.327045;-1.185954;1.000000
-1.327045;-1.056132;1.000000
-0.227132;-0.114868;1.000000
1.422738;0.083893;1.000000
-1.327045;-1.508855;1.000000
0.322825;1.849721;0.000000
0.597803;1.797081;0.000000
-0.227132;-0.577250;1.000000
-0.364621;-0.862436;1.000000
-1.327045;-1.188234;1.000000
-0.227132;-0.693418;1.000000
-1.327045;-1.205895;1.000000
1.560227;2.548184;0.000000
-0.227132;1.833065;0.000000
1.422738;0.270726;1.000000
-0.639600;-0.961245;1.000000
-0.227132;-0.811028;1.000000
1.285249;0.820232;1.000000
-0.364621;-1.299435;1.000000
-0.227132;-0.539243;1.000000
1.147760;1.231060;0.000000
-1.327045;-0.893648;1.000000
-1.327045;-1.205087;1.000000
1.422738;0.811848;1.000000
-1.327045;-0.788614;1.000000
-0.227132;-0.885121;1.000000
0.597803;1.719053;0.000000
-1.327045;-1.217643;1.000000
-0.227132;-0.041233;1.000000
-0.227132;-1.035860;1.000000
1.285249;0.296573;1.000000
-0.364621;-0.412856;1.000000
-1.327045;-0.849282;1.000000
-0.777089;0.361300;0.000000
1.422738;0.745009;1.000000
-0.777089;0.947592;0.000000
-0.227132;0.139258;1.000000
0.047846;-0.697825;1.000000
1.285249;-0.382487;1.000000
-1.327045;-0.679744;1.000000
-1.327045;-1.009345;1.000000
-1.189556;-0.556067;1.000000
-0.227132;1.852835;0.000000
1.285249;0.015801;1.000000
1.422738;0.950390;1.000000
-0.089643;0.654301;0.000000
-1.327045;-0.580992;1.000000
-0.364621;-0.416090;1.000000
1.285249;0.322573;1.000000
1.010270;0.473357;1.000000
1.422738;0.891268;1.000000
-1.464535;-1.299092;1.000000
-1.327045;-0.934074;1.000000
-0.364621;-0.792109;1.000000
-1.189556;-0.829705;1.000000
1.285249;0.152445;1.000000
1.010270;1.452965;0.000000
-1.327045;-1.074558;1.000000
-1.327045;-1.682009;1.000000
1.285249;0.399395;1.000000
1.285249;0.080215;1.000000
-1.327045;-0.899371;1.000000
-0.364621;-0.677412;1.000000
1.422738;0.568806;1.000000
1.422738;0.624102;1.000000
1.422738;-0.391565;1.000000
1.285249;0.331415;1.000000
1.285249;3.401841;0.000000
