Distr;D_stats;p_value;Parameters
gengamma;0.049053;0.174000;(0.681854216425474, 6.805845090832046, 0.8722991681997808, 0.10744589179225472)
Distr;D_stats;p_value;Parameters
powernorm;0.028934;0.785000;(772.9101786389565, 1.1482314663397384, 0.05832096970600521)
johnsonsu;0.029655;0.760000;(10.092723918453377, 3.8029340925094424, 1.0411993987850057, 0.010609034530770639)
pearson3;0.033583;0.613000;(-0.8114470681840491, 0.9635335311649885, 0.0210443763447832)
gengamma;0.033935;0.600000;(0.5240559583645937, 9.873325537910244, 0.85343439945766, 0.13003283578031014)
johnsonsb;0.037844;0.460000;(-1.6454888525291909, 1.6262623767283886, 0.8361866514018803, 0.1773549146501381)
exponpow;0.040056;0.389000;(4.136455818041455, 0.8674618545472766, 0.11576236082985232)
beta;0.043811;0.284000;(8.08797566379117, 2.643283236815793, 0.8380573879755844, 0.16651862994294137)
gumbel_l;0.044639;0.264000;(0.9733016678118205, 0.017387018645323167)
