Distr;D_stats;p_value;Parameters
powernorm;0.056708;0.077000;(4491.55860155667, 1.1338099331518832, 0.04312322798677504)
Distr;D_stats;p_value;Parameters
beta;0.035014;0.560000;(18.406863754114106, 2.4343926042094113, 0.7914524270195415, 0.20932861873671915)
johnsonsb;0.036625;0.502000;(-2.4523910881158635, 1.5463675858825159, 0.8540639002375345, 0.15063186768142373)
exponpow;0.040681;0.370000;(8.029267003800062, 0.8579946108208654, 0.1312491974614231)
johnsonsu;0.044721;0.262000;(8.275149542143911, 2.4275062336093143, 1.0106901825071595, 0.0020932761080976175)
gumbel_l;0.054368;0.100000;(0.9828287705888408, 0.011074821773990128)
powernorm;0.059670;0.055000;(16289.659791337883, 1.160620047588639, 0.04638552991318169)
Distr;D_stats;p_value;Parameters
beta;0.037397;0.475000;(7.533993691229645, 2.2615707558757903, 0.8931272587191037, 0.10756453281039063)
johnsonsb;0.039758;0.398000;(-1.5763586430235328, 1.4473110764423516, 0.8972691134841224, 0.10780972772852532)
exponpow;0.043093;0.302000;(4.681539289879389, 0.9062177620021251, 0.08236913499818824)
pearson3;0.046276;0.227000;(-0.957260865403117, 0.9758394411746767, 0.01396742690144616)
gumbel_l;0.052764;0.119000;(0.9822065363851143, 0.011173817269746797)
johnsonsu;0.054238;0.102000;(9.47315806418726, 3.2121801043382696, 1.0192285945158384, 0.0043425514545308765)
exponweib;0.057184;0.073000;(1.2374593177284914, 664.1506230803757, -7.386229196619382, 8.366188088177726)
powernorm;0.059880;0.053000;(3392.9014069719233, 1.1260625233750825, 0.04197587589606809)
