Distr;D_stats;p_value;Parameters
johnsonsb;0.043503;0.292000;(-2.9500264164961703, 1.9395453194554335, 0.9215501059588207, 0.08009518261465846)
gengamma;0.043720;0.286000;(0.5184726720911407, 14.255419505070504, 0.940453759705485, 0.051775236657721546)
beta;0.044827;0.260000;(66.04919563623596, 4.229881027093448, 0.777401896318167, 0.22230755701692526)
pearson3;0.044960;0.257000;(-0.9130121954558592, 0.9863294817937212, 0.006285230070164554)
gumbel_l;0.046046;0.232000;(0.9892101916526862, 0.005025527308661902)
johnsonsu;0.048020;0.193000;(9.070371962613006, 3.0698540233266396, 1.0051473072159398, 0.0018641103110881374)
powernorm;0.058005;0.066000;(4252.10389712069, 1.0563884832954455, 0.019261924044390918)
exponweib;0.518789;0.000000;(0.37691692661582243, 1.4236076493348873, 0.9588394062078271, 0.04372708758848928)
exponpow;0.427849;0.000000;(0.8640253953539307, 0.9588394062078271, 0.03831124377670857)
Distr;D_stats;p_value;Parameters
exponpow;0.046838;0.216000;(4.149121394374763, 0.9526352165351955, 0.038154859075235)
beta;0.050028;0.158000;(19.69276783673301, 4.544146109092725, 0.9140015647225589, 0.08658032314059244)
johnsonsb;0.051084;0.142000;(-2.2236393728596098, 2.019600454802503, 0.9303615249710045, 0.07297894311711176)
gumbel_l;0.053506;0.110000;(0.987519265948624, 0.005676762148103134)
pearson3;0.054778;0.096000;(-0.7189726772034004, 0.984348767590135, 0.006765998728271923)
exponweib;0.054898;0.095000;(0.6503109564934175, 9.041783317047376, 0.9458822890109608, 0.04324701075226049)
johnsonsu;0.058006;0.066000;(10.441097301498129, 4.050099807383907, 1.011090912569884, 0.00396228839589851)
powernorm;0.059287;0.057000;(482.82618551950566, 1.039548675339211, 0.018238711778348963)
gengamma;0.106229;0.000000;(1.0700819686039769, 4.179490112047665, 0.9551421236186666, 0.030751683008478685)
Distr;D_stats;p_value;Parameters
powernorm;0.028022;0.817000;(258.7261244998056, 1.032051646130254, 0.016757573294086843)
johnsonsu;0.028905;0.786000;(10.066833565668563, 4.223964160252448, 1.0114945713321841, 0.00486071302310476)
exponweib;0.030538;0.728000;(0.9173954975959714, 10.179371608991325, 0.9322790452831407, 0.05553223289218048)
pearson3;0.032328;0.661000;(-0.6797373589170101, 0.9846206571473508, 0.006548785013050649)
johnsonsb;0.033435;0.619000;(-3.820914372964429, 2.6306989200489834, 0.8960608717158745, 0.11019118262116825)
beta;0.034215;0.590000;(71.8003668936569, 6.846005379033036, 0.795635230195209, 0.20700466277225804)
gumbel_l;0.042101;0.329000;(0.9876970619591761, 0.005543283079438809)
exponpow;0.042410;0.321000;(4.193909231226597, 0.9531353481573803, 0.03777715443416124)
gengamma;0.576645;0.000000;(0.208133731809506, 1.3013444468977224, 0.9562158469945354, 1.3357004926949663)
Distr;D_stats;p_value;Parameters
johnsonsb;0.029484;0.766000;(-3.4478736468724325, 2.2002348480970184, 0.9014753062398257, 0.10154388833209547)
johnsonsu;0.029562;0.763000;(9.10809731427015, 3.3887971721830876, 1.0069704416334004, 0.002935167910287948)
pearson3;0.029680;0.759000;(-0.8340954582786653, 0.9845446382547023, 0.006797345245406693)
beta;0.029805;0.754000;(815.5800391536093, 5.661226840455398, -1.3543208663305901, 2.355100572314573)
gumbel_l;0.031158;0.705000;(0.9876867863909561, 0.00553717897013132)
powernorm;0.031231;0.702000;(1214.396402342958, 1.0482223277139386, 0.019302293095345334)
exponweib;0.045999;0.233000;(2.406256501645375, 8.73035233346051, 0.9066427017609225, 0.07541528768734941)
exponpow;0.471274;0.000000;(0.8426777425682807, 0.9517601043024772, 0.04382519149527364)
gengamma;0.569637;0.000000;(0.1642400443370357, 1.6941174453893701, 0.9517601043024772, 1.226753424568734)
Distr;D_stats;p_value;Parameters
exponpow;0.023589;0.937000;(4.240255896080056, 0.9548582856599213, 0.0357104773038493)
beta;0.028601;0.797000;(27.436392123429794, 5.077529153572096, 0.901690960333558, 0.09832004437946341)
johnsonsb;0.029766;0.756000;(-2.767875489485623, 2.2384688625213762, 0.9243652753533238, 0.07872111297491366)
exponweib;0.033097;0.632000;(0.7641122698038092, 9.50455874051546, 0.943579514898255, 0.04483699696021157)
gumbel_l;0.035714;0.535000;(0.9875565042898652, 0.005204585973894839)
johnsonsu;0.036016;0.524000;(10.24404236229622, 4.139628870067977, 1.0095752263364925, 0.004105217375513639)
powernorm;0.036957;0.490000;(395.39606005462247, 1.033305613811095, 0.01640839042540987)
gengamma;0.038699;0.431000;(1.7544919321760108, 36.13101360425455, 0.7261369424348962, 0.2566459609768593)
pearson3;0.161114;0.000000;(0.7677966796491391, 0.9856002666435515, 0.010734909037122486)
Distr;D_stats;p_value;Parameters
exponpow;0.032187;0.666000;(5.1042482319075075, 0.9475497809048965, 0.043481162158934904)
beta;0.042075;0.330000;(37822.10215381968, 5.814607784963503, -103.04937993441965, 104.05020384681009)
pearson3;0.042168;0.327000;(-0.8265211258946912, 0.9848330330537132, 0.006626473734749646)
johnsonsb;0.042756;0.311000;(-4.2108072108184365, 2.3748392862765098, 0.8813339921134904, 0.12216492887222363)
gumbel_l;0.045097;0.253000;(0.9878973683557033, 0.005383454561579183)
johnsonsu;0.046090;0.231000;(8.436026144369874, 3.2877881169072545, 1.006067473907675, 0.0031344056867346802)
powernorm;0.048655;0.181000;(5896.614899194534, 1.0629259011368595, 0.020981833368873014)
exponweib;0.582749;0.000000;(0.24809117773242217, 1.2213938663271158, 0.9528951275475771, 0.7831998161460668)
gengamma;0.747786;0.000000;(0.9349521880004754, 0.41007600669802363, 0.9528951275475771, 1.2612661076826224)
Distr;D_stats;p_value;Parameters
johnsonsu;0.024903;0.842000;(10.080498195834478, 3.7254078163664275, 1.0090511661829842, 0.003137711341494869)
powernorm;0.025051;0.836000;(1256.8004136226814, 1.048505591313369, 0.01925549255919694)
pearson3;0.025951;0.804000;(-0.7815956966509172, 0.9848136304137932, 0.0066726413014449775)
gumbel_l;0.029670;0.655000;(0.9879211399088339, 0.005517988225600552)
johnsonsb;0.030761;0.610000;(-1.9622612064680909, 1.8203362750071155, 0.9376910416960998, 0.0642638492442617)
exponweib;0.031457;0.582000;(0.5212366747936114, 9.523088893111307, 0.9507532027655782, 0.03958753811351828)
