Distr;D_stats;p_value;Parameters
nct;0.079158;0.083000;(2.8707838778525705, 13.361244954696499, -0.039259822795604124, 0.004738840089863255)
invweibull;0.081285;0.069000;(2.6878911241895267, -0.045792179469418506, 0.06795940978190496)
invgamma;0.083779;0.056000;(3.0055391208801536, -0.02393026303141365, 0.1494325374285338)
alpha;0.085540;0.049000;(3.054289073035938, -0.0668859827413093, 0.3073512654669287)
gumbel_r;0.087528;0.041000;(0.028011231909627878, 0.031463612854668255)
genlogistic;0.088046;0.039000;(1118.179888446146, -0.19276040340075673, 0.031442739302541475)
weibull_max;0.089183;0.035000;(155347699.2117381, 4959223.393219325, 4959223.365045192)
kstwobign;0.089636;0.034000;(-0.09269746306962906, 0.16496973739524992)
invgauss;0.102393;0.010000;(0.9570507807670856, -0.010720913001145995, 0.06161370054151055)
lognorm;0.104595;0.008000;(0.9820464153748942, -0.006367728606097013, 0.035861904005641106)
wald;0.106097;0.007000;(-0.010330073320799915, 0.058773754679753216)
johnsonsu;0.105112;0.007000;(-5.791110721122598, 1.0163520348284845, -0.0063366440099054365, 0.00024000230038150603)
gilbrat;0.107428;0.006000;(-0.006038496605853703, 0.03532377371630706)
genextreme;0.111548;0.004000;(-0.747958505104662, 0.018808103153918218, 0.02448087803247076)
fisk;0.110627;0.004000;(1.3847439147940184, -0.0023031910792569174, 0.032103920805064454)
rayleigh;0.116810;0.002000;(-0.029444353057497385, 0.06647425887858342)
rice;0.116810;0.002000;(9.011365260402053e-05, -0.029444352611423877, 0.0664742579660714)
maxwell;0.119216;0.001000;(-0.05455211198712415, 0.06676286450283916)
arcsine;0.587926;0.000000;(-1.4744912564017109e-27, 0.3898330793803958)
powerlaw;0.224305;0.000000;(0.26398244823534134, -2.012400439643935e-28, 0.3815658628151917)
pearson3;0.257660;0.000000;(2.3035781286173, 0.02962605950003675, 0.03412297135069972)
pareto;0.136000;0.000000;(2.24407277613295, -0.07729889397202788, 0.07729889373032162)
norm;0.181014;0.000000;(0.04824703617400435, 0.052931108303087226)
dweibull;0.166901;0.000000;(1.071550830553147, 0.0389462788677349, 0.03571634751908302)
ncf;0.174721;0.000000;(1.2940677650630124, 1.4253817439456262, 1.3570344534349237, -2.1950173162577855e-07, 0.010757686685788527)
powerlognorm;0.391655;0.000000;(27.450907509661633, 4.672158634210945, -5.570617965103092e-08, 67.39778566249629)
nakagami;0.136000;0.000000;(0.31015488828412574, -2.859204249246041e-30, 0.08221764953035118)
mielke;0.257078;0.000000;(0.3430180373560041, 1.9913916569431278, -1.2558620879397041e-30, 0.3088416931932104)
lomax;0.136000;0.000000;(3.505361738753524, -1.945289877365187e-09, 0.13313681285039913)
cauchy;0.198311;0.000000;(0.03270615622119988, 0.023498219803140055)
loglaplace;0.207337;0.000000;(0.6937565047144574, -1.9688705822510368e-26, 0.04355629547394331)
loggamma;0.194080;0.000000;(2104.8384973781813, -19.457776534721965, 2.5491765065767975)
ncx2;0.630524;0.000000;(0.6474217679848677, 0.11767569551135333, -1.4926146951635147e-30, 2.1118365494517577)
rdist;1.000000;0.000000;(1.3053444416744073, 1.1612531027362536, 7.654737772067442e-30)
powernorm;1.000000;0.000000;(2.7279144841112127e-05, -0.029365522501784043, 0.00034739728292455634)
levy_stable;0.196820;0.000000;(1.9999999999999996, 0.9999999999999998, 0.03703788989157296, 0.03070187934294396)
reciprocal;0.592000;0.000000;(0.9126823284077495, 1.5843872910899854, 0.0018632741785576364, 0.049519472293040254)
