Distr;D_stats;p_value;Parameters
weibull_min;0.025772;0.885000;(4.425304665236695, 0.6390059533712674, 0.2292555518361447)
powernorm;0.035331;0.548000;(1.3946455416496366, 0.8647867522527068, 0.057533008186162846)
beta;0.035649;0.537000;(14778.186172440222, 992.1334946174352, -24.499201889090585, 27.049297135635612)
powerlognorm;0.035706;0.535000;(2.3598882470754, 0.04427608461756567, -0.6463139558225918, 1.539613586847945)
loggamma;0.035727;0.534000;(307.31325016427365, -4.396093652605202, 0.9158672481123045)
pearson3;0.035881;0.528000;(-0.05428537651247679, 0.8483821626884746, 0.05228683298337388)
johnsonsb;0.036285;0.514000;(-17.95061141950149, 23.09573387067823, -2.983992028057549, 5.594651304705094)
weibull_max;0.036741;0.498000;(3.6836599170128492, 1.0246511449134101, 0.19503210805794177)
exponweib;0.036871;0.493000;(7.0488363749262986, 11.539204894223406, -0.44505364613215803, 1.200710585905428)
levy_stable;0.037546;0.470000;(1.9870974678508133, -0.9999778338768714, 0.8482699179761062, 0.036726177535885696)
johnsonsu;0.038889;0.425000;(0.24646249709604828, 3.875331505930861, 0.8612507735284866, 0.19555010897037955)
foldnorm;0.039211;0.415000;(3.5933116798039997, 0.6603773389603806, 0.05232063702400212)
exponnorm;0.039260;0.413000;(4.661322734141732e-06, 0.848381471091685, 0.05228933923998316)
rice;0.039274;0.413000;(69.25132558604699, -2.7724711818491627, 0.05228024057936953)
norm;0.039260;0.413000;(0.8483817475715175, 0.05228883550745504)
nakagami;0.039455;0.407000;(1646.8021974244557, -3.404167573964389, 4.252925487305631)
f;0.039926;0.393000;(267182.6664361352, 228760.0909803902, -12.131692815011867, 12.979974996622246)
lognorm;0.040067;0.388000;(0.011555100331937185, -3.6736819110128263, 4.521949785422361)
t;0.041229;0.354000;(23.680137390772437, 0.8484815113237776, 0.05004323252797806)
fatiguelife;0.041750;0.339000;(0.008359297583179687, -5.3940675141576016, 6.242128806260393)
chi;0.041923;0.334000;(153.98679450239354, -0.07282029128725792, 0.07436132872434928)
tukeylambda;0.042122;0.328000;(0.09418080352970669, 0.8484429681628294, 0.03358323436730099)
erlang;0.042794;0.310000;(1541.070858439935, -1.208297649765798, 0.0013345319438166593)
gengamma;0.042881;0.308000;(40.61920682616134, 2.5347757772138317, 0.004921165288151302, 0.19613095997856383)
gennorm;0.042933;0.307000;(1.8048746233259831, 0.8484574959121597, 0.06974298629306855)
gamma;0.043091;0.302000;(1527.5737289666076, -1.1962933788288819, 0.0013384506896972452)
betaprime;0.044566;0.266000;(4452.785968556802, 1731.3773706274583, -1.0165461835461023, 0.7247169938189939)
mielke;0.045951;0.234000;(43169230.97196436, 44432205.21562335, -1304954.475590278, 1304955.3254570758)
fisk;0.046615;0.220000;(442722.4413326423, -13099.722242925809, 13100.570822831207)
logistic;0.046671;0.219000;(0.8485732954974444, 0.029590070673124476)
recipinvgauss;0.046805;0.217000;(0.005531029540654235, 0.13490064761803722, 0.00392843056234639)
genlogistic;0.047051;0.212000;(1.0188589067889346, 0.8477291039814823, 0.029781928243071156)
burr;0.048225;0.189000;(13536.310464575976, 0.9673138766115761, -392.3620484886851, 393.2121349038979)
gausshyper;0.050720;0.148000;(4.978680587559882, 0.020982785492071106, -4.043537453358777, -0.9803457288889177, 0.6582435561163715, 0.3417564438836285)
alpha;0.051379;0.138000;(36.72033411483065, -1.083194613666195, 70.86285884038972)
invgamma;0.052799;0.119000;(463.0095019274132, -0.28430938946825346, 523.1499249971989)
hypsecant;0.054048;0.104000;(0.8486358694493218, 0.035376446744943835)
dgamma;0.056619;0.078000;(1.3479432631320756, 0.8493028370512301, 0.030608574762022056)
invgauss;0.059220;0.058000;(0.011404011867900469, 0.3473472040464173, 43.912027469927196)
