Distr;D_stats;p_value;Parameters;Kolm Dist;edf
loggamma;0.052366;0.785000;(3.3841033663752027, 0.8649454925263855, 0.06328846357300326);0.067036;"[0.         0.00666667 0.01333333 0.02       0.02666667 0.03333333
 0.04       0.04666667 0.05333333 0.06       0.06666667 0.07333333
 0.08       0.08666667 0.09333333 0.1        0.10666667 0.11333333
 0.12       0.12666667 0.13333333 0.14       0.14666667 0.15333333
 0.16       0.16666667 0.17333333 0.18       0.18666667 0.19333333
 0.2        0.20666667 0.21333333 0.22       0.22666667 0.23333333
 0.24       0.24666667 0.25333333 0.26       0.26666667 0.27333333
 0.28       0.28666667 0.29333333 0.3        0.30666667 0.31333333
 0.32       0.32666667 0.33333333 0.34       0.34666667 0.35333333
 0.36       0.36666667 0.37333333 0.38       0.38666667 0.39333333
 0.4        0.40666667 0.41333333 0.42       0.42666667 0.43333333
 0.44       0.44666667 0.45333333 0.46       0.46666667 0.47333333
 0.48       0.48666667 0.49333333 0.5        0.50666667 0.51333333
 0.52       0.52666667 0.53333333 0.54       0.54666667 0.55333333
 0.56       0.56666667 0.57333333 0.58       0.58666667 0.59333333
 0.6        0.60666667 0.61333333 0.62       0.62666667 0.63333333
 0.64       0.64666667 0.65333333 0.66       0.66666667 0.67333333
 0.68       0.68666667 0.69333333 0.7        0.70666667 0.71333333
 0.72       0.72666667 0.73333333 0.74       0.74666667 0.75333333
 0.76       0.76666667 0.77333333 0.78       0.78666667 0.79333333
 0.8        0.80666667 0.81333333 0.82       0.82666667 0.83333333
 0.84       0.84666667 0.85333333 0.86       0.86666667 0.87333333
 0.88       0.88666667 0.89333333 0.9        0.90666667 0.91333333
 0.92       0.92666667 0.93333333 0.94       0.94666667 0.95333333
 0.96       0.96666667 0.97333333 0.98       0.98666667 0.99333333]"
powernorm;0.052517;0.782000;(50.20629333384271, 1.1127728553091847, 0.08017214697687852);0.067641;"[0.         0.00666667 0.01333333 0.02       0.02666667 0.03333333
 0.04       0.04666667 0.05333333 0.06       0.06666667 0.07333333
 0.08       0.08666667 0.09333333 0.1        0.10666667 0.11333333
 0.12       0.12666667 0.13333333 0.14       0.14666667 0.15333333
 0.16       0.16666667 0.17333333 0.18       0.18666667 0.19333333
 0.2        0.20666667 0.21333333 0.22       0.22666667 0.23333333
 0.24       0.24666667 0.25333333 0.26       0.26666667 0.27333333
 0.28       0.28666667 0.29333333 0.3        0.30666667 0.31333333
 0.32       0.32666667 0.33333333 0.34       0.34666667 0.35333333
 0.36       0.36666667 0.37333333 0.38       0.38666667 0.39333333
 0.4        0.40666667 0.41333333 0.42       0.42666667 0.43333333
 0.44       0.44666667 0.45333333 0.46       0.46666667 0.47333333
 0.48       0.48666667 0.49333333 0.5        0.50666667 0.51333333
 0.52       0.52666667 0.53333333 0.54       0.54666667 0.55333333
 0.56       0.56666667 0.57333333 0.58       0.58666667 0.59333333
 0.6        0.60666667 0.61333333 0.62       0.62666667 0.63333333
 0.64       0.64666667 0.65333333 0.66       0.66666667 0.67333333
 0.68       0.68666667 0.69333333 0.7        0.70666667 0.71333333
 0.72       0.72666667 0.73333333 0.74       0.74666667 0.75333333
 0.76       0.76666667 0.77333333 0.78       0.78666667 0.79333333
 0.8        0.80666667 0.81333333 0.82       0.82666667 0.83333333
 0.84       0.84666667 0.85333333 0.86       0.86666667 0.87333333
 0.88       0.88666667 0.89333333 0.9        0.90666667 0.91333333
 0.92       0.92666667 0.93333333 0.94       0.94666667 0.95333333
 0.96       0.96666667 0.97333333 0.98       0.98666667 0.99333333]"
johnsonsu;0.053212;0.769000;(11.965698215824334, 5.036117993934501, 1.1143192235219728, 0.03345226331021374);0.068441;"[0.         0.00666667 0.01333333 0.02       0.02666667 0.03333333
 0.04       0.04666667 0.05333333 0.06       0.06666667 0.07333333
 0.08       0.08666667 0.09333333 0.1        0.10666667 0.11333333
 0.12       0.12666667 0.13333333 0.14       0.14666667 0.15333333
 0.16       0.16666667 0.17333333 0.18       0.18666667 0.19333333
 0.2        0.20666667 0.21333333 0.22       0.22666667 0.23333333
 0.24       0.24666667 0.25333333 0.26       0.26666667 0.27333333
 0.28       0.28666667 0.29333333 0.3        0.30666667 0.31333333
 0.32       0.32666667 0.33333333 0.34       0.34666667 0.35333333
 0.36       0.36666667 0.37333333 0.38       0.38666667 0.39333333
 0.4        0.40666667 0.41333333 0.42       0.42666667 0.43333333
 0.44       0.44666667 0.45333333 0.46       0.46666667 0.47333333
 0.48       0.48666667 0.49333333 0.5        0.50666667 0.51333333
 0.52       0.52666667 0.53333333 0.54       0.54666667 0.55333333
 0.56       0.56666667 0.57333333 0.58       0.58666667 0.59333333
 0.6        0.60666667 0.61333333 0.62       0.62666667 0.63333333
 0.64       0.64666667 0.65333333 0.66       0.66666667 0.67333333
 0.68       0.68666667 0.69333333 0.7        0.70666667 0.71333333
 0.72       0.72666667 0.73333333 0.74       0.74666667 0.75333333
 0.76       0.76666667 0.77333333 0.78       0.78666667 0.79333333
 0.8        0.80666667 0.81333333 0.82       0.82666667 0.83333333
 0.84       0.84666667 0.85333333 0.86       0.86666667 0.87333333
 0.88       0.88666667 0.89333333 0.9        0.90666667 0.91333333
 0.92       0.92666667 0.93333333 0.94       0.94666667 0.95333333
 0.96       0.96666667 0.97333333 0.98       0.98666667 0.99333333]"
weibull_min;0.054001;0.753000;(7.835502422927313, 0.6884018129822969, 0.25933093351151915);0.069382;"[0.         0.00666667 0.01333333 0.02       0.02666667 0.03333333
 0.04       0.04666667 0.05333333 0.06       0.06666667 0.07333333
 0.08       0.08666667 0.09333333 0.1        0.10666667 0.11333333
 0.12       0.12666667 0.13333333 0.14       0.14666667 0.15333333
 0.16       0.16666667 0.17333333 0.18       0.18666667 0.19333333
 0.2        0.20666667 0.21333333 0.22       0.22666667 0.23333333
 0.24       0.24666667 0.25333333 0.26       0.26666667 0.27333333
 0.28       0.28666667 0.29333333 0.3        0.30666667 0.31333333
 0.32       0.32666667 0.33333333 0.34       0.34666667 0.35333333
 0.36       0.36666667 0.37333333 0.38       0.38666667 0.39333333
 0.4        0.40666667 0.41333333 0.42       0.42666667 0.43333333
 0.44       0.44666667 0.45333333 0.46       0.46666667 0.47333333
 0.48       0.48666667 0.49333333 0.5        0.50666667 0.51333333
 0.52       0.52666667 0.53333333 0.54       0.54666667 0.55333333
 0.56       0.56666667 0.57333333 0.58       0.58666667 0.59333333
 0.6        0.60666667 0.61333333 0.62       0.62666667 0.63333333
 0.64       0.64666667 0.65333333 0.66       0.66666667 0.67333333
 0.68       0.68666667 0.69333333 0.7        0.70666667 0.71333333
 0.72       0.72666667 0.73333333 0.74       0.74666667 0.75333333
 0.76       0.76666667 0.77333333 0.78       0.78666667 0.79333333
 0.8        0.80666667 0.81333333 0.82       0.82666667 0.83333333
 0.84       0.84666667 0.85333333 0.86       0.86666667 0.87333333
 0.88       0.88666667 0.89333333 0.9        0.90666667 0.91333333
 0.92       0.92666667 0.93333333 0.94       0.94666667 0.95333333
 0.96       0.96666667 0.97333333 0.98       0.98666667 0.99333333]"
pearson3;0.055133;0.731000;(-0.6481841723274807, 0.9322931375033529, 0.03731872827917268);0.071658;"[0.         0.00666667 0.01333333 0.02       0.02666667 0.03333333
 0.04       0.04666667 0.05333333 0.06       0.06666667 0.07333333
 0.08       0.08666667 0.09333333 0.1        0.10666667 0.11333333
 0.12       0.12666667 0.13333333 0.14       0.14666667 0.15333333
 0.16       0.16666667 0.17333333 0.18       0.18666667 0.19333333
 0.2        0.20666667 0.21333333 0.22       0.22666667 0.23333333
 0.24       0.24666667 0.25333333 0.26       0.26666667 0.27333333
 0.28       0.28666667 0.29333333 0.3        0.30666667 0.31333333
 0.32       0.32666667 0.33333333 0.34       0.34666667 0.35333333
 0.36       0.36666667 0.37333333 0.38       0.38666667 0.39333333
 0.4        0.40666667 0.41333333 0.42       0.42666667 0.43333333
 0.44       0.44666667 0.45333333 0.46       0.46666667 0.47333333
 0.48       0.48666667 0.49333333 0.5        0.50666667 0.51333333
 0.52       0.52666667 0.53333333 0.54       0.54666667 0.55333333
 0.56       0.56666667 0.57333333 0.58       0.58666667 0.59333333
 0.6        0.60666667 0.61333333 0.62       0.62666667 0.63333333
 0.64       0.64666667 0.65333333 0.66       0.66666667 0.67333333
 0.68       0.68666667 0.69333333 0.7        0.70666667 0.71333333
 0.72       0.72666667 0.73333333 0.74       0.74666667 0.75333333
 0.76       0.76666667 0.77333333 0.78       0.78666667 0.79333333
 0.8        0.80666667 0.81333333 0.82       0.82666667 0.83333333
 0.84       0.84666667 0.85333333 0.86       0.86666667 0.87333333
 0.88       0.88666667 0.89333333 0.9        0.90666667 0.91333333
 0.92       0.92666667 0.93333333 0.94       0.94666667 0.95333333
 0.96       0.96666667 0.97333333 0.98       0.98666667 0.99333333]"
gengamma;0.055591;0.721000;(0.7395966703780658, 7.822466908315705, 0.7313076608974964, 0.22730842013722424);0.071918;"[0.         0.00666667 0.01333333 0.02       0.02666667 0.03333333
 0.04       0.04666667 0.05333333 0.06       0.06666667 0.07333333
 0.08       0.08666667 0.09333333 0.1        0.10666667 0.11333333
 0.12       0.12666667 0.13333333 0.14       0.14666667 0.15333333
 0.16       0.16666667 0.17333333 0.18       0.18666667 0.19333333
 0.2        0.20666667 0.21333333 0.22       0.22666667 0.23333333
 0.24       0.24666667 0.25333333 0.26       0.26666667 0.27333333
 0.28       0.28666667 0.29333333 0.3        0.30666667 0.31333333
 0.32       0.32666667 0.33333333 0.34       0.34666667 0.35333333
 0.36       0.36666667 0.37333333 0.38       0.38666667 0.39333333
 0.4        0.40666667 0.41333333 0.42       0.42666667 0.43333333
 0.44       0.44666667 0.45333333 0.46       0.46666667 0.47333333
 0.48       0.48666667 0.49333333 0.5        0.50666667 0.51333333
 0.52       0.52666667 0.53333333 0.54       0.54666667 0.55333333
 0.56       0.56666667 0.57333333 0.58       0.58666667 0.59333333
 0.6        0.60666667 0.61333333 0.62       0.62666667 0.63333333
 0.64       0.64666667 0.65333333 0.66       0.66666667 0.67333333
 0.68       0.68666667 0.69333333 0.7        0.70666667 0.71333333
 0.72       0.72666667 0.73333333 0.74       0.74666667 0.75333333
 0.76       0.76666667 0.77333333 0.78       0.78666667 0.79333333
 0.8        0.80666667 0.81333333 0.82       0.82666667 0.83333333
 0.84       0.84666667 0.85333333 0.86       0.86666667 0.87333333
 0.88       0.88666667 0.89333333 0.9        0.90666667 0.91333333
 0.92       0.92666667 0.93333333 0.94       0.94666667 0.95333333
 0.96       0.96666667 0.97333333 0.98       0.98666667 0.99333333]"
exponweib;0.056378;0.705000;(0.7188362834962094, 7.669223710896606, 0.7371312581226752, 0.21920805101182922);0.073059;"[0.         0.00666667 0.01333333 0.02       0.02666667 0.03333333
 0.04       0.04666667 0.05333333 0.06       0.06666667 0.07333333
 0.08       0.08666667 0.09333333 0.1        0.10666667 0.11333333
 0.12       0.12666667 0.13333333 0.14       0.14666667 0.15333333
 0.16       0.16666667 0.17333333 0.18       0.18666667 0.19333333
 0.2        0.20666667 0.21333333 0.22       0.22666667 0.23333333
 0.24       0.24666667 0.25333333 0.26       0.26666667 0.27333333
 0.28       0.28666667 0.29333333 0.3        0.30666667 0.31333333
 0.32       0.32666667 0.33333333 0.34       0.34666667 0.35333333
 0.36       0.36666667 0.37333333 0.38       0.38666667 0.39333333
 0.4        0.40666667 0.41333333 0.42       0.42666667 0.43333333
 0.44       0.44666667 0.45333333 0.46       0.46666667 0.47333333
 0.48       0.48666667 0.49333333 0.5        0.50666667 0.51333333
 0.52       0.52666667 0.53333333 0.54       0.54666667 0.55333333
 0.56       0.56666667 0.57333333 0.58       0.58666667 0.59333333
 0.6        0.60666667 0.61333333 0.62       0.62666667 0.63333333
 0.64       0.64666667 0.65333333 0.66       0.66666667 0.67333333
 0.68       0.68666667 0.69333333 0.7        0.70666667 0.71333333
 0.72       0.72666667 0.73333333 0.74       0.74666667 0.75333333
 0.76       0.76666667 0.77333333 0.78       0.78666667 0.79333333
 0.8        0.80666667 0.81333333 0.82       0.82666667 0.83333333
 0.84       0.84666667 0.85333333 0.86       0.86666667 0.87333333
 0.88       0.88666667 0.89333333 0.9        0.90666667 0.91333333
 0.92       0.92666667 0.93333333 0.94       0.94666667 0.95333333
 0.96       0.96666667 0.97333333 0.98       0.98666667 0.99333333]"
gumbel_l;0.058385;0.664000;(0.9499746428058621, 0.031981970471558624);0.080921;"[0.         0.00666667 0.01333333 0.02       0.02666667 0.03333333
 0.04       0.04666667 0.05333333 0.06       0.06666667 0.07333333
 0.08       0.08666667 0.09333333 0.1        0.10666667 0.11333333
 0.12       0.12666667 0.13333333 0.14       0.14666667 0.15333333
 0.16       0.16666667 0.17333333 0.18       0.18666667 0.19333333
 0.2        0.20666667 0.21333333 0.22       0.22666667 0.23333333
 0.24       0.24666667 0.25333333 0.26       0.26666667 0.27333333
 0.28       0.28666667 0.29333333 0.3        0.30666667 0.31333333
 0.32       0.32666667 0.33333333 0.34       0.34666667 0.35333333
 0.36       0.36666667 0.37333333 0.38       0.38666667 0.39333333
 0.4        0.40666667 0.41333333 0.42       0.42666667 0.43333333
 0.44       0.44666667 0.45333333 0.46       0.46666667 0.47333333
 0.48       0.48666667 0.49333333 0.5        0.50666667 0.51333333
 0.52       0.52666667 0.53333333 0.54       0.54666667 0.55333333
 0.56       0.56666667 0.57333333 0.58       0.58666667 0.59333333
 0.6        0.60666667 0.61333333 0.62       0.62666667 0.63333333
 0.64       0.64666667 0.65333333 0.66       0.66666667 0.67333333
 0.68       0.68666667 0.69333333 0.7        0.70666667 0.71333333
 0.72       0.72666667 0.73333333 0.74       0.74666667 0.75333333
 0.76       0.76666667 0.77333333 0.78       0.78666667 0.79333333
 0.8        0.80666667 0.81333333 0.82       0.82666667 0.83333333
 0.84       0.84666667 0.85333333 0.86       0.86666667 0.87333333
 0.88       0.88666667 0.89333333 0.9        0.90666667 0.91333333
 0.92       0.92666667 0.93333333 0.94       0.94666667 0.95333333
 0.96       0.96666667 0.97333333 0.98       0.98666667 0.99333333]"
mielke;0.061144;0.607000;(35.99692587652247, 63.49810021551872, -0.1259376809776851, 1.0762564338131528);0.061569;"[0.         0.00666667 0.01333333 0.02       0.02666667 0.03333333
 0.04       0.04666667 0.05333333 0.06       0.06666667 0.07333333
 0.08       0.08666667 0.09333333 0.1        0.10666667 0.11333333
 0.12       0.12666667 0.13333333 0.14       0.14666667 0.15333333
 0.16       0.16666667 0.17333333 0.18       0.18666667 0.19333333
 0.2        0.20666667 0.21333333 0.22       0.22666667 0.23333333
 0.24       0.24666667 0.25333333 0.26       0.26666667 0.27333333
 0.28       0.28666667 0.29333333 0.3        0.30666667 0.31333333
 0.32       0.32666667 0.33333333 0.34       0.34666667 0.35333333
 0.36       0.36666667 0.37333333 0.38       0.38666667 0.39333333
 0.4        0.40666667 0.41333333 0.42       0.42666667 0.43333333
 0.44       0.44666667 0.45333333 0.46       0.46666667 0.47333333
 0.48       0.48666667 0.49333333 0.5        0.50666667 0.51333333
 0.52       0.52666667 0.53333333 0.54       0.54666667 0.55333333
 0.56       0.56666667 0.57333333 0.58       0.58666667 0.59333333
 0.6        0.60666667 0.61333333 0.62       0.62666667 0.63333333
 0.64       0.64666667 0.65333333 0.66       0.66666667 0.67333333
 0.68       0.68666667 0.69333333 0.7        0.70666667 0.71333333
 0.72       0.72666667 0.73333333 0.74       0.74666667 0.75333333
 0.76       0.76666667 0.77333333 0.78       0.78666667 0.79333333
 0.8        0.80666667 0.81333333 0.82       0.82666667 0.83333333
 0.84       0.84666667 0.85333333 0.86       0.86666667 0.87333333
 0.88       0.88666667 0.89333333 0.9        0.90666667 0.91333333
 0.92       0.92666667 0.93333333 0.94       0.94666667 0.95333333
 0.96       0.96666667 0.97333333 0.98       0.98666667 0.99333333]"
burr;0.061299;0.604000;(65.84724636050083, 0.5700465024135091, -0.16808028814887638, 1.118256518531133);0.061545;"[0.         0.00666667 0.01333333 0.02       0.02666667 0.03333333
 0.04       0.04666667 0.05333333 0.06       0.06666667 0.07333333
 0.08       0.08666667 0.09333333 0.1        0.10666667 0.11333333
 0.12       0.12666667 0.13333333 0.14       0.14666667 0.15333333
 0.16       0.16666667 0.17333333 0.18       0.18666667 0.19333333
 0.2        0.20666667 0.21333333 0.22       0.22666667 0.23333333
 0.24       0.24666667 0.25333333 0.26       0.26666667 0.27333333
 0.28       0.28666667 0.29333333 0.3        0.30666667 0.31333333
 0.32       0.32666667 0.33333333 0.34       0.34666667 0.35333333
 0.36       0.36666667 0.37333333 0.38       0.38666667 0.39333333
 0.4        0.40666667 0.41333333 0.42       0.42666667 0.43333333
 0.44       0.44666667 0.45333333 0.46       0.46666667 0.47333333
 0.48       0.48666667 0.49333333 0.5        0.50666667 0.51333333
 0.52       0.52666667 0.53333333 0.54       0.54666667 0.55333333
 0.56       0.56666667 0.57333333 0.58       0.58666667 0.59333333
 0.6        0.60666667 0.61333333 0.62       0.62666667 0.63333333
 0.64       0.64666667 0.65333333 0.66       0.66666667 0.67333333
 0.68       0.68666667 0.69333333 0.7        0.70666667 0.71333333
 0.72       0.72666667 0.73333333 0.74       0.74666667 0.75333333
 0.76       0.76666667 0.77333333 0.78       0.78666667 0.79333333
 0.8        0.80666667 0.81333333 0.82       0.82666667 0.83333333
 0.84       0.84666667 0.85333333 0.86       0.86666667 0.87333333
 0.88       0.88666667 0.89333333 0.9        0.90666667 0.91333333
 0.92       0.92666667 0.93333333 0.94       0.94666667 0.95333333
 0.96       0.96666667 0.97333333 0.98       0.98666667 0.99333333]"
