Distr;D_stats;p_value;Parameters
Distr;D_stats;p_value;Parameters
Distr;D_stats;p_value;Parameters
Distr;D_stats;p_value;Parameters
dgamma;0.141111;0.091000;(0.7470593489162787, 0.9830508474576273, 0.018318421878148)
gennorm;0.151440;0.058000;(0.9736372338445802, 0.9824561363527455, 0.014194372872793152)
laplace;0.152502;0.055000;(0.9824561403508771, 0.014774670689560022)
loglaplace;0.154388;0.050000;(97.4016667313404, -0.46291842298255614, 1.4453745633344257)
Distr;D_stats;p_value;Parameters
exponweib;0.153490;0.052000;(3.6151469963928546, 10.65191538285962, 0.6717429420721894, 0.2935559255182394)
