Distr;D_stats;p_value;Parameters
dweibull;0.151846;0.001000;(0.9452399838046669, 0.983606557377049, 0.013616766640918116)
laplace;0.142928;0.001000;(0.9827586206896551, 0.013768108273698974)
loglaplace;0.142967;0.001000;(3005298.5370619157, -41385.270729086405, 41386.25348771097)
alpha;0.166451;0.000000;(100.3646699832006, -0.7451240699464874, 173.09186601010634)
norm;0.167783;0.000000;(0.9797541592029344, 0.017079439817848954)
nct;0.429512;0.000000;(208.4265983403709, 32.16810497496621, -0.8155965315940601, 0.05577809139984154)
ncf;0.466596;0.000000;(59.349773707055675, 184.83019279236052, 3.3763662238517527, -0.9481829755651134, 1.8247930124363947)
ncx2;0.559909;0.000000;(0.633668117060022, 1.2692757038443339, 0.9137931034482758, 0.023604087954521846)
nakagami;0.167464;0.000000;(1505.3126137843233, -0.34766853851640633, 1.327512725355517)
mielke;0.242494;0.000000;(3.261401926201629, 223.1699946974311, 0.9101315693018157, 0.09107380005526845)
maxwell;0.222430;0.000000;(0.9132659855883685, 0.039625623074896005)
lomax;0.400561;0.000000;(366.9794165010358, 0.9137931034460941, 24.200943211519974)
lognorm;0.168190;0.000000;(0.0053681417344909055, -2.1937703428725923, 3.173476620949986)
pearson3;0.417350;0.000000;(-2.553952940293162, 0.9875771267399894, 0.015863716844646658)
loggamma;0.714286;0.000000;(1.2671455166800077e-07, 1.000000036151448, 2.5664888316865624e-09)
logistic;0.158577;0.000000;(0.9805572937973941, 0.01009220122330476)
levy_stable;0.242638;0.000000;(2.0, -0.9999999999999996, 0.9827586206896604, 0.017470300489168412)
levy_l;0.422659;0.000000;(1.0006383559077872, 0.0020310198999430543)
levy;0.585251;0.000000;(0.9116995711884184, 0.05873267831364132)
kstwobign;0.209194;0.000000;(0.8937884423776252, 0.0999930433125383)
ksone;0.444656;0.000000;(1.0181990664664653, 0.9137930992541761, 0.08620690594416489)
pareto;0.401514;0.000000;(11.226586349227095, 0.19833698486669993, 0.7154561185560805)
powerlaw;0.285714;0.000000;(3.6853620253745656, 0.9050631594697651, 0.09493684053206322)
johnsonsb;0.439084;0.000000;(-0.18225971843339328, 0.10113172451792696, 0.812102447584893, 0.187897552415107)
powerlognorm;0.173333;0.000000;(19.932092201745306, 0.22857523373011646, 0.8363548233148825, 0.21825536979254612)
weibull_min;0.722388;0.000000;(0.45173213078204816, 0.9137931034482758, 1.0363749204884656)
wald;0.386622;0.000000;(0.9109262413391164, 0.10175045065877637)
vonmises_line;1.000000;0.000000;(1.3053444268341892, 4.8845226419562335, 2.6436763633751825e-30)
vonmises;2071533666287142230814381177831424.000000;0.000000;(1.1958521047064696, 0.9937914519257847, 5.9254604492573716e-36)
uniform;0.444656;0.000000;(0.9137931034482759, 0.08620689655172409)
tukeylambda;0.338127;0.000000;(0.9547092189980179, 0.9668931347929904, 0.032043824688257595)
truncnorm;0.456256;0.000000;(0.9791451988705911, 1.0715292887278531, 0.00011708745057270633, 0.9331363893494253)
truncexpon;0.542404;0.000000;(0.8246931797677473, 0.9137931022560006, 0.10453212252432798)
triang;0.285003;0.000000;(0.999999992314141, 0.9134296552314659, 0.08660115987279814)
t;0.167794;0.000000;(3598393.6723844893, 0.9797532780097544, 0.01707937786710842)
semicircular;1.000000;0.000000;(2.6894283259915284, 7.065654467401256e-33)
recipinvgauss;0.159745;0.000000;(0.005550146840568473, 0.7444591889916656, 0.0013009366164223376)
rice;1.000000;0.000000;(490.0272880589912, -7.384647245413086, 0.01706922094579102)
rayleigh;0.206861;0.000000;(0.9441489360607213, 0.027923459487483968)
reciprocal;0.455652;0.000000;(0.9800428178635585, 1.0725061217522298, 6.349946750097907e-05, 0.9323364046307194)
rdist;1.000000;0.000000;(1.3053444286282456, 2.299579490370962, 3.458325550892682e-30)
powernorm;0.187549;0.000000;(3213.0888104204123, 1.1695375578490776, 0.05321903592417397)
johnsonsu;0.459293;0.000000;(2.8997144524601803, 0.20863149100906492, 1.0000000042878459, 1.0486894645381466e-09)
invweibull;0.187335;0.000000;(278080010.300821, -5139288.355901396, 5139289.326831577)
anglit;1.000000;0.000000;(2.5345822892384833, 4.348217108439998e-30)
dgamma;0.163250;0.000000;(0.853503924295337, 0.983606557377049, 0.015356661920538237)
fisk;0.158620;0.000000;(95475459.28614146, -963387.2664950073, 963388.2470517943)
fatiguelife;0.168734;0.000000;(0.0038679368256134498, -3.42404727786794, 4.403727169827752)
f;0.167045;0.000000;(14317363.049853995, 1492491.8721127058, -13.110020517398269, 14.089743365257721)
exponpow;0.239824;0.000000;(388708497.30587745, -12980148.01308159, 12980149.008798182)
exponweib;0.572601;0.000000;(0.24314038929268628, 1.4168069827493863, 0.9137931034482758, 1.0057456688805757)
exponnorm;0.167782;0.000000;(8.439557489202653e-05, 0.9797529920552632, 0.01707928868881972)
expon;0.400828;0.000000;(0.9137931034482759, 0.06596105575465849)
erlang;0.163069;0.000000;(310.24250744255187, 0.6728887438733719, 0.00098894224462619)
cosine;1.000000;0.000000;(6.066170597447651, 1.4649067348549994e-29)
invgauss;0.184046;0.000000;(0.0112608638379786, 0.811437076047818, 14.90894487950716)
chi2;0.170172;0.000000;(176.96917568022832, 0.8089210094699006, 0.000964530099967725)
chi;0.165780;0.000000;(244.80068368432205, 0.5987495899421666, 0.02437296945099287)
cauchy;0.176843;0.000000;(0.9823001074266648, 0.010987983468333623)
burr;0.256134;0.000000;(599.7035511328008, 0.00842465287359093, 0.8754238494665325, 0.125312717933442)
bradford;0.528175;0.000000;(1.0520880993368604, 0.9137930972722272, 0.08620692951726314)
betaprime;0.167961;0.000000;(169893.23560343415, 80270.74020599364, -3.024781106301443, 1.89197429275906)
beta;0.369283;0.000000;(6.327967753952478, 0.711813897467239, 0.8688285602477659, 0.13117143975223414)
